epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90021,1.10634,2.64171,1.4264,0.6093,0.88723,0.88767,0.61465,1.40674,1.33606,1.26037,0,0,0
2,3.70525,1.02609,2.96891,1.35833,0.59517,0.89322,0.88785,0.62346,1.40702,1.35157,1.25601,1.17822e-06,1.17822e-06,1.17822e-06
3,5.4443,0.73261,3.06004,1.24273,0.59955,0.88003,0.88451,0.62255,1.43768,1.37479,1.27063,2.33288e-06,2.33288e-06,2.33288e-06
4,7.31089,1.41635,2.71946,1.94882,0.55639,0.83333,0.8708,0.60827,1.4504,1.40099,1.27747,3.46397e-06,3.46397e-06,3.46397e-06
5,9.04852,1.22053,3.49097,1.68725,0.57762,0.83333,0.87084,0.60952,1.46863,1.43111,1.28098,4.5715e-06,4.5715e-06,4.5715e-06
6,10.8331,1.08893,2.53547,1.38642,0.60569,0.68993,0.88473,0.59332,1.4917,1.48372,1.29479,5.65548e-06,5.65548e-06,5.65548e-06
7,12.6255,1.09051,2.6187,1.38757,0.83729,0.56667,0.87203,0.57771,1.50818,1.52695,1.30873,6.71588e-06,6.71588e-06,6.71588e-06
8,14.2547,0.92716,2.30292,1.27134,0.82262,0.56953,0.88596,0.57326,1.52305,1.57814,1.32863,7.75273e-06,7.75273e-06,7.75273e-06
9,15.9157,1.10393,3.49904,1.39457,0.81768,0.58005,0.88631,0.55891,1.54401,1.63238,1.33329,8.76602e-06,8.76602e-06,8.76602e-06
10,17.6866,0.98158,2.58242,1.21746,0.80578,0.58333,0.80321,0.55456,1.55185,1.68771,1.34688,9.75574e-06,9.75574e-06,9.75574e-06
11,19.4298,1.26281,2.81637,1.49992,0.78864,0.58333,0.76898,0.54211,1.56185,1.71761,1.35791,1.07219e-05,1.07219e-05,1.07219e-05
12,21.0837,0.88679,2.18715,1.31314,0.77392,0.58333,0.76381,0.54337,1.56252,1.76333,1.36356,1.16645e-05,1.16645e-05,1.16645e-05
13,22.8465,1.05745,2.41825,1.48751,0.7572,0.58333,0.74395,0.54208,1.54983,1.80111,1.36692,1.25835e-05,1.25835e-05,1.25835e-05
14,24.6097,1.00157,2.47303,1.34682,0.74775,0.58333,0.74738,0.54352,1.53713,1.79805,1.36055,1.3479e-05,1.3479e-05,1.3479e-05
15,26.3534,1.07796,1.79757,1.46952,0.76633,0.58333,0.74394,0.54202,1.52134,1.82642,1.35499,1.43509e-05,1.43509e-05,1.43509e-05
16,28.0752,1.00102,2.49226,1.47505,0.93772,0.37212,0.74537,0.53394,1.50195,1.82814,1.35251,1.51993e-05,1.51993e-05,1.51993e-05
17,29.8002,0.9464,2.31098,1.38112,0.93292,0.37179,0.66099,0.46683,1.51525,1.8913,1.36124,1.60241e-05,1.60241e-05,1.60241e-05
18,31.3529,1.19215,2.15868,1.47986,0.93292,0.37179,0.66099,0.46683,1.51525,1.8913,1.36124,1.68253e-05,1.68253e-05,1.68253e-05
19,33.0411,1.06718,1.72419,1.36043,0.93284,0.37277,0.66102,0.46677,1.5373,1.94317,1.37638,1.7603e-05,1.7603e-05,1.7603e-05
20,34.9585,0.89684,1.67428,1.20601,0.93284,0.37277,0.66102,0.46677,1.5373,1.94317,1.37638,1.83571e-05,1.83571e-05,1.83571e-05
