epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9596,2.27379,10.7512,1.03097,0.00072,0.21739,0.0006,0.0001,1.73576,5.91196,0.87497,0.00024,0.00024,0.00024
2,22.5283,1.88066,6.10557,0.90618,0.00101,0.30435,0.00079,0.0003,1.59453,5.84388,0.83915,0.000495875,0.000495875,0.000495875
3,33.4596,1.99735,5.74957,0.90821,0.00116,0.34783,0.00129,0.00041,1.67945,5.66472,0.84535,0.00074746,0.00074746,0.00074746
4,43.8372,1.9414,5.30356,0.88926,0.00188,0.56522,0.00243,0.00074,1.88429,5.06997,0.87512,0.000994755,0.000994755,0.000994755
5,53.1497,1.88961,4.22237,0.8762,0.00261,0.78261,0.00502,0.00249,1.65802,4.15832,0.8541,0.00123776,0.00123776,0.00123776
6,64.9708,1.87684,4.06576,0.89062,0.00276,0.82609,0.22287,0.11761,1.6949,3.53085,0.87967,0.00147647,0.00147647,0.00147647
7,75.2566,1.91107,3.83568,0.87946,0.00445,0.82609,0.13898,0.06302,2.00081,3.84999,0.93071,0.0017109,0.0017109,0.0017109
8,86.8073,1.98906,3.64225,0.90683,0.91553,0.13043,0.40134,0.21163,1.73905,3.14329,0.89505,0.0018845,0.0018845,0.0018845
9,97.2606,1.79767,3.2068,0.87075,0.7762,0.52174,0.62411,0.34889,1.67224,2.27374,0.87043,0.001868,0.001868,0.001868
10,108.842,1.77194,2.8967,0.89168,0.88964,0.6087,0.83578,0.47816,1.63929,1.69713,0.87859,0.0018515,0.0018515,0.0018515
11,118.377,1.68984,2.40048,0.87846,1,0.66546,0.81497,0.41664,1.44927,1.51084,0.84296,0.001835,0.001835,0.001835
12,128.99,1.78631,2.57957,0.86368,0.94646,0.7691,0.84629,0.45754,1.57089,1.37723,0.84812,0.0018185,0.0018185,0.0018185
